Index,Indicator Name,CSV Status,CSV Error Reason,Pine Script Status,Source URL,Last Updated
480,MCDX SmartMoney,FAIL,Script extraction failed: Source code button not found.,FAIL,,2026-07-07T20:17:12.446Z
481,Parabolic SAR + EMA 200 + MACD Signals,OK,,OK,https://www.tradingview.com/v/eevVxLxD/,2026-07-07T20:20:33.384Z
482,TraderLion’s Enhanced Volume,FAIL,Script extraction failed: Source code button not found.,FAIL,,2026-07-07T20:22:35.923Z
483,Pullback Trading Tool ALT R1.0 by JustUncleL,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T20:23:22.575Z
484,Dynamic Volume Profile,FAIL,Script extraction failed: Source code button not found.,FAIL,,2026-07-07T20:25:18.074Z
485,Harmonic Pattern Detection [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T20:26:02.334Z
486,Angle Attack Follow Line Indicator,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T20:27:43.034Z
487,Trailing Stop Loss Indicator by KıvanÇ fr3762,OK,,OK,https://www.tradingview.com/v/FKSDn34J/,2026-07-07T20:29:46.416Z
488,RSI + BB (EMA) + Dispersion (2.0),OK,,OK,https://www.tradingview.com/v/EGstJ7gS/,2026-07-07T20:31:49.673Z
489,Fibonacci Projection with Volume & Delta Profile (Zeiierman),REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T20:32:36.522Z
490,EMA Slope + EMA Cross Strategy (by ChartArt),OK,,OK,https://www.tradingview.com/v/XLGBqrZq/,2026-07-07T20:36:38.902Z
491,Stochastic Momentum Index _ UCSgears,OK,,OK,https://www.tradingview.com/v/xd8t6hai/,2026-07-07T20:38:44.356Z
492,Linear Regression Channel / Curve / Slope by DGT,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T20:39:32.999Z
493,CRT Indicator,FAIL,Script extraction failed: Source code button not found.,FAIL,,2026-07-07T20:41:34.038Z
494,Follow Line,REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T20:42:21.581Z
495,Multitimeframe Fair Value Gap – FVG (Zeiierman),OK,,OK,https://www.tradingview.com/v/5jS51RsP/,2026-07-07T20:44:28.237Z
496,Initial Balance Breakout Signals [LuxAlgo],OK,,OK,https://www.tradingview.com/v/HjvLRwvm/,2026-07-07T20:47:01.524Z
497,Ichimoku Theories [LuxAlgo],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T20:47:47.471Z
498,ICT Macros [LuxAlgo],REJECTED,No indicator columns found (only OHLCV columns present),SKIP,,2026-07-07T20:48:34.195Z
499,Trend Levels [ChartPrime],FAIL,Download failed: CSV verification failed: 'Volume' column is missing or CSV is invalid.,SKIP,,2026-07-07T20:50:55.173Z
500,RSI Momentum Divergence Zones [ChartPrime],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T20:51:42.590Z
501,"Pivot Points CPR with M,W,D High/low",REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T20:52:30.239Z
502,Liquidation Reversal Signals [AlgoAlpha],REJECTED,Null/empty/NaN value found in indicator columns at row 2,SKIP,,2026-07-07T20:53:17.041Z
